TICKER,PRICE,DATE,QUOTE
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3884.34,,
ETH,145.95,,
LTC,47.07,,
,,2019-02-18 20:39:03,Few will have the greatness to bend history itself but each of us can work to change a small portion of events&#x2c; and in the total of all those acts will be written the history of this generation. - Robert Kennedy
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3884.34,,
ETH,145.95,,
LTC,47.12,,
,,2019-02-18 20:39:29,Ignorant men raise questions that wise men answered a thousand years ago. - Johann Wolfgang von Goethe
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3888.76,,
ETH,146.01,,
LTC,47.12,,
,,2019-02-18 20:43:41,Diplomacy is the art of saying 'Nice doggie' until you can find a rock. - Will Rogers
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3888.76,,
ETH,146.01,,
LTC,47.12,,
,,2019-02-18 20:43:49,Medicine to produce health must examine disease and music&#x2c; to create harmony must investigate discord. - Plutarch
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3892.78,,
ETH,146.79,,
LTC,47.35,,
,,2019-02-18 22:26:39,The place of the father in the modern suburban family is a very small one&#x2c; particularly if he plays golf. - Bertrand Russell
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3892.78,,
ETH,146.79,,
LTC,47.35,,
,,2019-02-18 22:26:44,Virtue is persecuted more by the wicked than it is loved by the good. - Buddha
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3892.78,,
ETH,146.79,,
LTC,47.35,,
,,2019-02-18 22:26:49,Just in terms of allocation of time resources&#x2c; religion is not very efficient. There's a lot more I could be doing on a Sunday morning. - Bill Gates
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3892.78,,
ETH,146.79,,
LTC,47.35,,
,,2019-02-18 22:26:53,Friendship is Love without his wings! - Lord Byron
TSLA,307.88,,
AAPL,170.42,,
GOOGL,1119.63,,
BTC,3895.32,,
ETH,146.79,,
LTC,47.35,,
,,2019-02-18 22:26:58,Genius ain't anything more than elegant common sense. - Josh Billings
